,game,round,week,date,home_team,away_team,home_score,away_score,game_id
289,2025-05-11 Angers-RC Strasbourg,33,33,2025-05-11 15:00:00+00:00,Angers,RC Strasbourg,,,12450186
290,2025-05-11 Auxerre-Nantes,33,33,2025-05-11 15:00:00+00:00,Auxerre,Nantes,,,12450178
291,2025-05-11 Le Havre-Olympique de Marseille,33,33,2025-05-11 15:00:00+00:00,Le Havre,Olympique de Marseille,,,12450199
292,2025-05-11 Montpellier-Paris Saint-Germain,33,33,2025-05-11 15:00:00+00:00,Montpellier,Paris Saint-Germain,,,12450276
293,2025-05-11 Stade Brestois-Lille,33,33,2025-05-11 15:00:00+00:00,Stade Brestois,Lille,,,12450184
294,2025-05-11 Stade Rennais-Nice,33,33,2025-05-11 15:00:00+00:00,Stade Rennais,Nice,,,12450269
295,2025-05-11 Stade de Reims-Saint-Étienne,33,33,2025-05-11 15:00:00+00:00,Stade de Reims,Saint-Étienne,,,12450172
296,2025-05-11 Toulouse-RC Lens,33,33,2025-05-11 15:00:00+00:00,Toulouse,RC Lens,,,12450191
297,2025-05-18 Lille-Stade de Reims,34,34,2025-05-18 15:00:00+00:00,Lille,Stade de Reims,,,12450189
298,2025-05-18 Nantes-Montpellier,34,34,2025-05-18 15:00:00+00:00,Nantes,Montpellier,,,12450272
299,2025-05-18 Nice-Stade Brestois,34,34,2025-05-18 15:00:00+00:00,Nice,Stade Brestois,,,12450187
300,2025-05-18 Olympique Lyonnais-Angers,34,34,2025-05-18 15:00:00+00:00,Olympique Lyonnais,Angers,,,12450190
301,2025-05-18 Olympique de Marseille-Stade Rennais,34,34,2025-05-18 15:00:00+00:00,Olympique de Marseille,Stade Rennais,,,12450192
302,2025-05-18 Paris Saint-Germain-Auxerre,34,34,2025-05-18 15:00:00+00:00,Paris Saint-Germain,Auxerre,,,12450275
303,2025-05-18 RC Lens-AS Monaco,34,34,2025-05-18 15:00:00+00:00,RC Lens,AS Monaco,,,12450181
304,2025-05-18 RC Strasbourg-Le Havre,34,34,2025-05-18 15:00:00+00:00,RC Strasbourg,Le Havre,,,12450176
305,2025-05-18 Saint-Étienne-Toulouse,34,34,2025-05-18 15:00:00+00:00,Saint-Étienne,Toulouse,,,12450273
